label,message,label_num,message_length,clean_text
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,goodo ye must speak friday egg potato ratio tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,hmm uncl inform pay school directli pl buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,privat account statement show unredeem bonu point claim call identifi code expir
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,156,urgent mobil award bonu caller prize final tri contact u call landlin box wr c ppm
ham,here is my new address -apples&pairs&all that malarky,0,53,new address appl pair malarki
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,today voda number end select receiv award match pleas call quot claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,0,52,go sao mu today done
ham,Ü predict wat time ü'll finish buying?,0,38,predict wat time finish buy
ham,"Good stuff, will do.",0,20,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
ham,Are you there in room.,0,22,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,0,28,k k much cost
ham,I'm home.,0,9,home
ham,"Dear, will call Tmorrow.pls accomodate.",0,39,dear call tmorrow pl accomod
ham,First answer my question.,0,25,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,125,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p
ham,I only haf msn. It's yijue@hotmail.com,0,38,haf msn yiju hotmail com
ham,He is there. You call and meet him,0,34,call meet
ham,No no. I will check all rooms befor activities,0,46,check room befor activ
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,85,got c lazi type forgot lect saw pouch like v nice
ham,"K, text me when you're on the way",0,33,k text way
ham,"Sir, Waiting for your mail.",0,27,sir wait mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,156,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni
ham,I know you are. Can you pls open the back?,0,42,know pl open back
ham,Yes see ya not on the dot,0,25,ye see ya dot
ham,Whats the staff name who is taking class for us?,0,48,what staff name take class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,ummma call check life begin qatar pl pray hard
ham,K..i deleted my contact that why?,0,33,k delet contact
ham,Sindu got job in birla soft ..,0,30,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,0,45,wine flow never
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,yup thk cine better co need go plaza mah
ham,Ok... Ur typical reply...,0,25,ok ur typic repli
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
ham,Aaooooright are you at work?,0,28,aaooooright work
ham,I'm leaving my house now...,0,27,leav hous
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,hello love get interview today happi good boy think miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,custom servic annonc new year deliveri wait pleas call arrang deliveri
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,145,winner u special select receiv cash holiday flight inc speak live oper claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,keep safe need miss alreadi envi everyon see real life
ham,New car and house for my parents.:)i have only new job in hand:),0,64,new car hous parent new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,love excit day spend make happi
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,pl stop bootydeli f invit friend repli ye see www sm ac u bootydeli stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu
ham,I place all ur points on e cultures module already.,0,51,place ur point e cultur modul alreadi
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,156,urgent tri contact last weekend draw show prize guarante call claim code valid hr
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,hi frnd best way avoid missunderstd wit belov one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,67,great escap fanci bridg need lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,0,59,ye complet form clark also utter wast
ham,"Sir, I need AXIS BANK account no and bank address.",0,50,sir need axi bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,94,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
ham,What time you coming down later? ,0,33,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,105,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,well gonna finish bath good fine night
ham,Let me know when you've got the money so carlos can make the call,0,65,let know got money carlo make call
ham,U still going to the mall?,0,26,u still go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,0,66,text doesnt repli let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,hi spoke maneesha v like know satisfi experi repli toll free ye
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,lift hope offer money need especi end month approach hurt studi anyway gr weekend
ham,Lol no. U can trust me.,0,23,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,65,ok gentleman treat digniti respect
ham,"He will, you guys close?",0,24,guy close
ham,Going on nothing great.bye,0,26,go noth great bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,hello handsom find job lazi work toward get back net mummi boytoy miss
ham,"Haha awesome, be there in a minute",0,34,haha awesom minut
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,147,pleas call custom servic repres freephon pm guarante cash prize
ham,Have you got Xmas radio times. If not i will get it now,0,55,got xma radio time get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,ju reach home go bath first si use net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,uniqu enough find th august www areyouuniqu co uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
ham,Hi :)finally i completed the course:),0,37,hi final complet cours
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,stop howev suggest stay someon abl give or everi stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,hope settl new school year wishin gr day
ham,Gud mrng dear hav a nice day,0,28,gud mrng dear hav nice day
ham,Did u got that persons story,0,28,u got person stori
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,64,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",0,40,found enc lt gt
ham,I sent you  &lt;#&gt;  bucks,0,28,sent lt gt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,hello darlin ive finish colleg txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
ham,Goodmorning sleeping ga.,0,24,goodmorn sleep ga
ham,U call me alter at 11 ok.,0,25,u call alter ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,63,say like dat dun buy ericsson oso cannot oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went
ham,"Aight yo, dats straight dogg",0,28,aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,86,pleas give us connect today lt decim gt refund bill
ham,Both :) i shoot big loads so get ready!,0,39,shoot big load get readi
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,73,bruv hope great break reward semest
ham,Home so we can always chat,0,26,home alway chat
ham,K:)k:)good:)study well.,0,23,k k good studi well
ham,Yup... How ü noe leh...,0,23,yup noe leh
ham,Sounds great! Are you home now?,0,31,sound great home
ham,Finally the match heading towards draw as your prediction.,0,58,final match head toward draw predict
ham,Tired. I haven't slept well the past few nights.,0,48,tire slept well past night
ham,Easy ah?sen got selected means its good..,0,41,easi ah sen got select mean good
ham,I have to take exam with march 3,0,32,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,159,yeah think use gt atm regist sure anyway help let know sure readi
ham,Ok no prob. Take ur time.,0,25,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,161,os call ubandu run without instal hard disk use os copi import file system give repair shop
ham,"Sorry, I'll call later",0,22,sorri call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,119,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,142,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,0,69,would realli appreci call need someon talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,137,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
ham,Hey company elama po mudyadhu.,0,30,hey compani elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0,165,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
ham,Dear good morning now only i am up,0,34,dear good morn
